name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker,clean_label
vad4,1.245646259,1,husband,-0.000489472,718.1005859,146.8013206,510.8040339,1.117122337,0.031423911,0.246193382,7.15e-05,82.50431179,51.81982982,0.405998601,0,1.0,1
vad6,0.805419501,1,other man,-0.000940579,1419.230769,140.3733045,88.08204381,1.086762577,0.024440219,0.214690624,0.000101876,83.5189446,55.46935438,3.882153342,0,2.0,1
vad8,0.835419501,1,other man,-0.000719904,1000.378965,152.0993506,468.2152975,0.926627792,0.027396278,0.210485319,7.87e-05,82.66201763,54.03451965,5.235182574,0,2.0,1
vad12,0.665328798,1,other man,-0.000313911,730.7128906,137.8236174,65.74352466,2.144398765,0.050804648,0.260636899,2.55e-05,79.49249605,50.33841797,3.866640784,0,2.0,1
vad14,0.515260771,1,other man,-0.00097146,738.8160342,132.042332,137.5903337,0.821953173,0.037060089,0.221542322,5.73e-05,83.77656215,54.89363063,5.565885274,0,2.0,1
vad20,2.176099773,1,other man (border 2),-0.000376918,1140.655692,184.7314342,489.2659554,1.554716389,0.046225335,0.235862887,0.000102628,81.07298605,51.07799152,3.302349627,"low slope high roll off, this one is more aggressive",2.0,1
vad0,1.015510204,1,"husband, raised distance",-0.000647805,923.0957031,164.1411896,487.7684085,1.515389662,0.008176811,0.174022482,8.62e-05,81.79264404,53.69044335,6.086305065,0,1.0,1
vad4,1.155600907,1,"maybe wife? One sound, Maybe some lost segments after this…)",-0.001350782,1232.169859,192.9980493,239.1681356,0.594055279,0.011036115,0.142983107,0.000207859,87.31084659,56.92824051,8.538484565,0,3.0,1
vad10,0.345170068,1,noise at the end (sounds like a bit raised but at a distance but happy),-0.000293025,1609.427316,141.9354368,37.89328566,0.0,0.043718756,0.086008448,1.29e-05,77.95957413,50.34800175,2.74478277,0,3.0,1
vad0,0.545283447,1,husband,-0.000386439,1274.42516,141.3845006,40.71520282,0.326175982,0.028749403,0.238470846,2.53e-05,79.98682573,50.92295523,2.758166563,0,1.0,1
vad2,0.295147392,1,wife,-0.000448178,782.430013,197.4773974,14.58780371,0.065619201,0.019289716,0.183254126,1.51e-05,77.94998318,51.65874716,10.55625027,0,3.0,1
vad10,0.325147392,1,husband,-0.000377356,1160.391348,134.6291209,7.333370221,0.0,0.0080894,0.126620692,1.51e-05,78.4942319,50.85259301,5.039086744,0,1.0,1
vad2,1.425714286,1,husband,-0.000159848,1381.347656,116.6390713,48.04892982,0.314993203,0.014062895,0.169980438,2.98e-05,77.19140117,47.58471588,3.186177283,0,1.0,1
vad16,1.155600907,1,husband,-0.000137857,1164.361769,132.9043028,515.9108671,0.362466847,0.03057789,0.151775719,2.06e-05,77.50951483,46.89965667,2.235177327,0,1.0,1
vad22,3.086575964,1,husband,-0.000106004,940.675797,139.5613699,438.2330207,0.635022265,0.039342541,0.228115031,4.05e-05,77.05025672,45.49534564,1.405059501,0,1.0,1
vad0,0.895442177,1,husband,-0.004824181,1596.835666,206.2985523,95.88922185,0.425329421,0.045056153,0.174727019,0.000541543,91.86954783,62.24841089,1.228489577,0,1.0,1
vad2,1.205600907,2,husband,-0.00479082,881.0657619,269.3102055,282.7514193,1.492579315,0.034970882,0.222789457,0.000714629,93.73168825,62.16168223,2.918480386,0,1.0,1
vad4,0.235124717,1,"wife, grunt",-0.001840927,860.8398438,353.8478976,28.03095133,0.0,0.052932296,0.170575695,5.51e-05,84.34915104,57.6004129,0.454917639,0,3.0,1
vad14,1.635827664,"1,2",has husband sound at the beginning then wife,-0.005838777,1325.109584,376.157323,345.4044171,1.457339911,0.04373992,0.243830001,0.001664679,96.73657874,64.27018012,0.907258879,0,3.0,1
vad0,1.05553288,2,husband,-0.002407817,738.8384651,307.6606072,420.9886566,1.454390235,0.041002246,0.224040834,0.000330456,87.96029165,59.32052439,1.156752856,0,1.0,2
vad4,1.325668934,3,"husband, border 2",-0.008906536,615.3667129,435.8831174,179.6603672,0.222181026,0.023436653,0.201173679,0.001587021,94.05966917,65.2037004,6.008052206,0,1.0,3
vad8,5.867959184,3,mix of wife and husband yelling,-0.003308222,1269.366065,502.4064715,407.0906353,1.071076291,0.038391288,0.212423107,0.002926915,94.62178039,61.32629292,4.251188154,0,3.0,3
vad10,0.385192744,2,husband,-0.001618819,707.7872984,454.8994465,104.6308167,0.039032825,0.029113428,0.279471013,7.52e-05,84.33067816,57.44682971,0.50151886,0,1.0,2
vad2,1.245623583,2.0,"wife, tiny tiny bit of husband at the beginning, not sperable",-0.002608005,424.0136719,508.0475782,524.6792519,0.990838529,0.032964118,0.191607943,0.000357179,86.64578328,58.93946054,0.512158052,0,3.0,2
vad4,2.486258503,3.0,"wife, border 2",-0.004229592,780.5615234,553.098877,515.2964377,0.186409269,0.015052476,0.145014178,0.001225713,90.62638411,61.42050758,1.102623499,0,3.0,3
vad6,0.585306122,3.0,wife scream?,-0.001616574,906.4162234,369.7390016,129.9579017,0.583333147,0.044259037,0.243536993,0.000149836,87.2636484,58.57520119,1.602139081,0,3.0,3
vad8,1.655827664,3.0,wife scream,-0.003455927,1032.13478,85.63890605,524.6513893,0.681647362,0.092636973,0.212986062,0.000803856,91.53685974,61.15610518,4.215605366,0,3.0,3
vad12,0.315147392,2.0,wife sound?,-0.001692439,904.7288161,107.4390738,9.706727124,0.008110933,0.030488794,0.0,6.04e-05,83.79870912,57.42515902,1.256527843,0,3.0,2
vad14,1.775895692,1.0,wife,-0.000907253,1233.791111,467.7610284,464.9759392,0.023678741,0.050218065,0.133218358,0.00020078,83.71557223,54.82072606,3.549737309,0,3.0,1
vad16,0.085034014,0,wife,-0.003888893,1221.191406,446.7007053,118.6652687,0.0,0.0,0.0,5.86e-05,84.98751406,62.07538936,5.65593537,0,3.0,1
vad0,0.665351474,3.0,bangs and wife scream,-0.01028912,681.0347946,518.7035702,228.6052394,0.112758642,0.011184445,0.089572628,0.000784706,94.58269774,65.03286878,1.115782939,0,3.0,3
