name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker,clean_label
vad4,1.245646259,1,husband,-0.000489472,718.1005859,146.8013206,510.8040339,1.117122337,0.031423911,0.246193382,7.15e-05,82.50431179,51.81982982,0.405998601,0,1.0,1
vad0,1.015510204,1,"husband, raised distance",-0.000647805,923.0957031,164.1411896,487.7684085,1.515389662,0.008176811,0.174022482,8.62e-05,81.79264404,53.69044335,6.086305065,0,1.0,1
vad0,0.545283447,1,husband,-0.000386439,1274.42516,141.3845006,40.71520282,0.326175982,0.028749403,0.238470846,2.53e-05,79.98682573,50.92295523,2.758166563,0,1.0,1
vad10,0.325147392,1,husband,-0.000377356,1160.391348,134.6291209,7.333370221,0.0,0.0080894,0.126620692,1.51e-05,78.4942319,50.85259301,5.039086744,0,1.0,1
vad2,1.425714286,1,husband,-0.000159848,1381.347656,116.6390713,48.04892982,0.314993203,0.014062895,0.169980438,2.98e-05,77.19140117,47.58471588,3.186177283,0,1.0,1
vad16,1.155600907,1,husband,-0.000137857,1164.361769,132.9043028,515.9108671,0.362466847,0.03057789,0.151775719,2.06e-05,77.50951483,46.89965667,2.235177327,0,1.0,1
vad22,3.086575964,1,husband,-0.000106004,940.675797,139.5613699,438.2330207,0.635022265,0.039342541,0.228115031,4.05e-05,77.05025672,45.49534564,1.405059501,0,1.0,1
vad0,0.895442177,1,husband,-0.004824181,1596.835666,206.2985523,95.88922185,0.425329421,0.045056153,0.174727019,0.000541543,91.86954783,62.24841089,1.228489577,0,1.0,1
vad2,1.205600907,2,husband,-0.00479082,881.0657619,269.3102055,282.7514193,1.492579315,0.034970882,0.222789457,0.000714629,93.73168825,62.16168223,2.918480386,0,1.0,1
vad0,1.05553288,2,husband,-0.002407817,738.8384651,307.6606072,420.9886566,1.454390235,0.041002246,0.224040834,0.000330456,87.96029165,59.32052439,1.156752856,0,1.0,2
vad4,1.325668934,3,"husband, border 2",-0.008906536,615.3667129,435.8831174,179.6603672,0.222181026,0.023436653,0.201173679,0.001587021,94.05966917,65.2037004,6.008052206,0,1.0,3
vad10,0.385192744,2,husband,-0.001618819,707.7872984,454.8994465,104.6308167,0.039032825,0.029113428,0.279471013,7.52e-05,84.33067816,57.44682971,0.50151886,0,1.0,2
vad6,0.74537415,2.0,"husband, wife in backgroud, inseperable",-0.006431336,563.8834635,80.99633616,17.04935998,0.04832926,0.137625364,0.256105002,0.000532079,91.57101101,62.85163355,6.119278453,0,1.0,2
vad10,1.075555556,2.0,"husband, wife coughs, inseperable",-0.001719346,814.8179328,106.7553136,379.476587,0.197839335,0.057365591,0.181054582,0.000208364,84.00355109,57.27938572,2.337427871,0,1.0,2
vad14,1.315668934,2.0,husband,-0.001563198,488.7787441,355.2331884,386.2181681,0.701689117,0.039266324,0.230448561,0.000231902,85.43244116,56.93362537,-0.017224351,0,1.0,2
vad16,2.646349206,3.0,"both, maybe seperable",-0.001863899,965.8479511,410.5732808,466.6474727,1.202910052,0.06473271,0.203576553,0.000665011,88.54694688,58.35729645,2.499588495,0,1.0,3
vad6,2.096077098,"2,3","husband, wife in backgroud, inseperable",-0.001466338,828.9039249,297.2179188,495.3003512,1.488084825,0.047497349,0.226114155,0.000402966,86.23723718,57.24782119,2.271428659,0,1.0,1
vad8,4.40723356,3,"both, maybe seperable",-0.002234755,855.6790014,408.3447597,524.5993975,1.198546629,0.018625849,0.189135541,0.001383603,89.75182776,59.34163004,3.896802117,0,1.0,1
vad0,3.375895692,3,"her gasping him yelling, slap?, maybe somwhat seperable?",-0.009562175,998.6126326,375.2891074,377.913275,2.428261293,0.040781603,0.185230816,0.005056439,101.4985731,66.10948808,1.856951692,0,1.0,3
vad10,0.165079365,1.0,husband,-0.000622655,366.0714286,77.94584015,5.46778492,0.0,0.063545291,0.136795947,1.2e-05,78.08114354,52.96400054,11.02424687,0,1.0,1
vad2,2.976507937,1,husband,-0.000159896,1382.352821,143.3109421,445.1182758,0.550882658,0.033258721,0.193542374,6.43e-05,78.34119059,47.66369378,2.847638952,0,1.0,1
vad10,2.116077098,1,husband,-8.01e-05,1567.529297,137.9225512,511.2637276,0.079878757,0.029182682,0.189843129,2.42e-05,73.97769738,44.91906025,2.870472256,0,1.0,1
vad10,0.315170068,1,"husband, just s",-5.16e-05,2433.143029,549.4731331,54.67900123,5.26559564,0.0,0.0,3.23e-06,70.7819934,44.52673074,2.005027124,0,1.0,1
vad12,1.805918367,1,husband,-0.000100195,855.041083,95.22770036,440.6872833,0.181360851,0.041764372,0.230466163,2.27e-05,74.91231275,45.35143993,0.879671582,0,1.0,1
vad26,0.45521542,1,husband,-6.91e-05,795.3705659,163.5110256,362.4677552,0.942427889,0.025215907,0.212034139,3.88e-06,71.43106018,43.64196685,3.075632756,0,1.0,1
vad8,0.825419501,2,husband,-0.001038792,728.7706973,193.3959154,117.6055898,0.377032329,0.026072058,0.16681411,0.000122909,84.27549793,56.16520794,7.557907607,0,1.0,2
vad2,1.455736961,1,husband,-0.0001045,2076.042501,77.14741589,518.278192,0.11178142,0.015144674,0.164096426,3.19e-05,76.99105665,47.80179971,3.49905145,0,1.0,1
vad6,1.495759637,1,husband,-5.96e-05,1453.751628,505.219151,524.5266103,0.662084954,0.059843944,0.31077802,1.25e-05,74.89645753,43.59265267,3.673484674,0,1.0,1
